;ir_1;red;green;blue;vis_1;vis_2;vis_3;ir_2;ir_3;intervention
34;10275.0;8.0;83.0;61.0;4394.0;581.0;180.0;1486.0;508.0;uniform_reference
35;473.0;4.0;4.0;10.0;195.0;26.0;0.0;70.0;11.0;uniform_reference
36;7037.0;9.0;58.0;43.0;3090.0;370.0;136.0;895.0;358.0;uniform_reference
37;11781.0;26.0;54.0;66.0;4472.0;657.0;146.0;1564.0;380.0;uniform_reference
38;8735.0;61.0;23.0;21.0;1366.0;227.0;78.0;1425.0;490.0;uniform_reference
39;2647.0;7.0;1.0;51.0;1966.0;307.0;90.0;501.0;162.0;uniform_reference
40;1113.0;11.0;4.0;24.0;527.0;79.0;20.0;185.0;54.0;uniform_reference
41;11312.0;37.0;53.0;65.0;3920.0;640.0;135.0;1797.0;366.0;uniform_reference
42;5046.0;5.0;48.0;37.0;2085.0;401.0;98.0;921.0;260.0;uniform_reference
43;8304.0;14.0;43.0;62.0;3731.0;522.0;149.0;1231.0;334.0;uniform_reference
44;18024.0;85.0;30.0;64.0;4312.0;706.0;114.0;2690.0;551.0;uniform_reference
45;11632.0;68.0;0.0;43.0;2547.0;290.0;99.0;1451.0;457.0;uniform_reference
46;6381.0;14.0;43.0;43.0;2616.0;314.0;106.0;902.0;271.0;uniform_reference
47;10803.0;69.0;47.0;20.0;1827.0;302.0;92.0;1769.0;524.0;uniform_reference
48;5854.0;8.0;47.0;72.0;3019.0;613.0;157.0;1304.0;350.0;uniform_reference
49;9692.0;65.0;20.0;14.0;1379.0;191.0;61.0;1295.0;451.0;uniform_reference
50;9080.0;11.0;84.0;38.0;3114.0;470.0;136.0;1454.0;385.0;uniform_reference
51;13206.0;78.0;37.0;17.0;2174.0;347.0;95.0;2151.0;624.0;uniform_reference
52;8874.0;35.0;42.0;50.0;2715.0;425.0;92.0;1367.0;248.0;uniform_reference
53;14734.0;51.0;73.0;59.0;4409.0;644.0;225.0;2337.0;775.0;uniform_reference
54;19370.0;82.0;68.0;41.0;4283.0;644.0;108.0;3002.0;596.0;uniform_reference
55;19655.0;80.0;80.0;69.0;5468.0;873.0;212.0;3351.0;807.0;uniform_reference
56;12908.0;51.0;51.0;49.0;3221.0;439.0;142.0;1540.0;532.0;uniform_reference
57;620.0;0.0;15.0;10.0;243.0;39.0;7.0;114.0;27.0;uniform_reference
58;9025.0;33.0;57.0;49.0;3307.0;566.0;125.0;1429.0;451.0;uniform_reference
59;12934.0;70.0;5.0;58.0;3139.0;479.0;128.0;1894.0;563.0;uniform_reference
60;18697.0;72.0;85.0;36.0;4117.0;748.0;190.0;3012.0;824.0;uniform_reference
61;9812.0;69.0;24.0;28.0;1565.0;281.0;62.0;1720.0;365.0;uniform_reference
62;6112.0;32.0;16.0;70.0;3095.0;493.0;144.0;1172.0;324.0;uniform_reference
63;6997.0;64.0;22.0;16.0;1077.0;208.0;51.0;1428.0;403.0;uniform_reference
64;6787.0;37.0;14.0;52.0;2425.0;380.0;103.0;1233.0;306.0;uniform_reference
65;8612.0;28.0;45.0;73.0;3479.0;574.0;203.0;1475.0;413.0;uniform_reference
66;9857.0;32.0;47.0;60.0;3491.0;536.0;163.0;1236.0;414.0;uniform_reference
67;4862.0;4.0;50.0;49.0;2409.0;403.0;98.0;889.0;198.0;uniform_reference
68;16659.0;74.0;34.0;67.0;4190.0;820.0;123.0;2612.0;495.0;uniform_reference
69;5681.0;30.0;35.0;40.0;1988.0;239.0;83.0;696.0;247.0;uniform_reference
70;10381.0;61.0;47.0;14.0;1843.0;293.0;85.0;1753.0;474.0;uniform_reference
71;4815.0;2.0;20.0;75.0;2943.0;529.0;153.0;796.0;252.0;uniform_reference
72;11190.0;8.0;83.0;63.0;4479.0;704.0;149.0;1701.0;331.0;uniform_reference
73;17298.0;75.0;56.0;65.0;5491.0;669.0;164.0;2343.0;757.0;uniform_reference
74;6830.0;57.0;10.0;3.0;794.0;103.0;33.0;1036.0;333.0;uniform_reference
75;17969.0;72.0;57.0;68.0;4635.0;710.0;186.0;2762.0;665.0;uniform_reference
76;13709.0;71.0;10.0;74.0;4331.0;555.0;142.0;1816.0;508.0;uniform_reference
77;11368.0;50.0;31.0;68.0;4035.0;657.0;159.0;1870.0;547.0;uniform_reference
78;1614.0;23.0;2.0;15.0;331.0;72.0;18.0;373.0;107.0;uniform_reference
79;11536.0;62.0;51.0;2.0;1854.0;202.0;73.0;1355.0;475.0;uniform_reference
80;4047.0;26.0;31.0;7.0;775.0;125.0;33.0;580.0;202.0;uniform_reference
81;10182.0;27.0;68.0;58.0;3947.0;533.0;171.0;1485.0;407.0;uniform_reference
82;18300.0;77.0;67.0;62.0;4610.0;698.0;202.0;2504.0;837.0;uniform_reference
83;16584.0;78.0;71.0;67.0;4902.0;783.0;219.0;2900.0;807.0;uniform_reference
84;13174.0;53.0;46.0;75.0;4139.0;592.0;219.0;2000.0;663.0;uniform_reference
85;7988.0;18.0;55.0;66.0;3704.0;601.0;140.0;1379.0;346.0;uniform_reference
86;16659.0;57.0;72.0;75.0;5456.0;753.0;230.0;2355.0;778.0;uniform_reference
87;7818.0;17.0;45.0;62.0;3420.0;489.0;174.0;1048.0;382.0;uniform_reference
88;15891.0;67.0;64.0;82.0;4697.0;826.0;218.0;2566.0;617.0;uniform_reference
89;16440.0;83.0;42.0;41.0;3339.0;507.0;128.0;2437.0;632.0;uniform_reference
90;20024.0;78.0;77.0;76.0;5891.0;833.0;249.0;2923.0;824.0;uniform_reference
91;5529.0;1.0;28.0;74.0;3519.0;544.0;82.0;972.0;144.0;uniform_reference
92;20912.0;71.0;62.0;84.0;5784.0;791.0;231.0;2850.0;739.0;uniform_reference
93;18283.0;70.0;85.0;35.0;4011.0;641.0;131.0;2715.0;634.0;uniform_reference
94;8564.0;33.0;75.0;8.0;2205.0;247.0;91.0;1267.0;413.0;uniform_reference
95;4962.0;46.0;2.0;21.0;834.0;107.0;28.0;684.0;247.0;uniform_reference
96;8263.0;61.0;5.0;61.0;2562.0;502.0;104.0;1650.0;423.0;uniform_reference
97;8360.0;11.0;78.0;35.0;2878.0;469.0;111.0;1230.0;312.0;uniform_reference
98;13639.0;52.0;38.0;69.0;4113.0;654.0;154.0;1968.0;462.0;uniform_reference
99;12173.0;42.0;59.0;67.0;4407.0;639.0;154.0;1695.0;400.0;uniform_reference
100;14379.0;56.0;82.0;60.0;4045.0;692.0;240.0;2416.0;794.0;uniform_reference
101;9591.0;42.0;25.0;41.0;2543.0;313.0;102.0;1126.0;347.0;uniform_reference
102;14139.0;77.0;34.0;19.0;2228.0;313.0;95.0;1957.0;631.0;uniform_reference
103;14947.0;81.0;50.0;4.0;2222.0;313.0;82.0;2115.0;554.0;uniform_reference
104;3487.0;4.0;3.0;56.0;2245.0;357.0;92.0;473.0;162.0;uniform_reference
105;6040.0;2.0;69.0;11.0;1698.0;225.0;77.0;804.0;247.0;uniform_reference
106;5721.0;13.0;28.0;61.0;2908.0;388.0;130.0;724.0;196.0;uniform_reference
107;1643.0;17.0;3.0;17.0;523.0;76.0;15.0;266.0;78.0;uniform_reference
108;7363.0;24.0;49.0;63.0;3372.0;523.0;134.0;1198.0;378.0;uniform_reference
109;6785.0;21.0;50.0;56.0;3002.0;482.0;130.0;1157.0;347.0;uniform_reference
110;10798.0;49.0;79.0;9.0;2610.0;351.0;70.0;2036.0;423.0;uniform_reference
111;3531.0;23.0;36.0;10.0;938.0;130.0;38.0;526.0;192.0;uniform_reference
112;10571.0;49.0;52.0;40.0;3137.0;399.0;109.0;1462.0;472.0;uniform_reference
113;19104.0;81.0;62.0;78.0;5728.0;748.0;192.0;2791.0;717.0;uniform_reference
114;15425.0;82.0;23.0;74.0;4423.0;694.0;153.0;2442.0;669.0;uniform_reference
115;6682.0;46.0;1.0;22.0;1100.0;147.0;34.0;890.0;223.0;uniform_reference
116;7817.0;38.0;43.0;11.0;1584.0;221.0;58.0;1170.0;285.0;uniform_reference
117;12716.0;47.0;55.0;60.0;3682.0;448.0;126.0;1447.0;477.0;uniform_reference
118;17345.0;71.0;77.0;84.0;5403.0;839.0;283.0;3065.0;968.0;uniform_reference
119;9885.0;76.0;13.0;34.0;1864.0;263.0;100.0;1464.0;544.0;uniform_reference
120;12925.0;76.0;13.0;7.0;1426.0;164.0;57.0;1377.0;458.0;uniform_reference
121;4090.0;1.0;50.0;6.0;1153.0;164.0;27.0;542.0;123.0;uniform_reference
122;9599.0;66.0;15.0;7.0;1002.0;145.0;36.0;1300.0;330.0;uniform_reference
123;14544.0;48.0;48.0;62.0;4488.0;533.0;193.0;1690.0;566.0;uniform_reference
124;13492.0;42.0;47.0;85.0;4816.0;640.0;284.0;1722.0;640.0;uniform_reference
125;7131.0;2.0;43.0;77.0;3639.0;483.0;119.0;952.0;224.0;uniform_reference
126;13926.0;47.0;63.0;46.0;3766.0;559.0;173.0;1886.0;605.0;uniform_reference
127;7311.0;6.0;82.0;14.0;2082.0;325.0;63.0;1041.0;256.0;uniform_reference
128;9621.0;52.0;30.0;70.0;3575.0;655.0;161.0;2258.0;548.0;uniform_reference
129;13279.0;48.0;64.0;82.0;4806.0;778.0;234.0;2157.0;566.0;uniform_reference
130;7974.0;16.0;42.0;78.0;3403.0;661.0;164.0;1301.0;326.0;uniform_reference
131;7072.0;26.0;9.0;76.0;3860.0;520.0;146.0;1023.0;315.0;uniform_reference
132;5263.0;45.0;12.0;13.0;661.0;103.0;40.0;729.0;315.0;uniform_reference
133;5165.0;2.0;35.0;72.0;2987.0;488.0;159.0;1029.0;296.0;uniform_reference
134;14825.0;75.0;66.0;46.0;3490.0;817.0;129.0;3436.0;578.0;uniform_reference
135;20171.0;65.0;70.0;40.0;4416.0;541.0;160.0;2167.0;755.0;uniform_reference
136;15466.0;59.0;75.0;43.0;3819.0;574.0;158.0;2215.0;614.0;uniform_reference
137;4207.0;9.0;14.0;56.0;2380.0;349.0;88.0;565.0;150.0;uniform_reference
138;4408.0;36.0;9.0;13.0;681.0;116.0;18.0;789.0;187.0;uniform_reference
139;6118.0;9.0;72.0;11.0;1837.0;278.0;70.0;878.0;260.0;uniform_reference
140;10152.0;59.0;19.0;33.0;2033.0;177.0;67.0;938.0;372.0;uniform_reference
141;4436.0;35.0;11.0;26.0;1006.0;143.0;50.0;643.0;228.0;uniform_reference
142;10317.0;16.0;62.0;85.0;4916.0;681.0;243.0;1554.0;444.0;uniform_reference
143;6540.0;5.0;45.0;60.0;3133.0;544.0;115.0;1114.0;267.0;uniform_reference
144;10051.0;9.0;76.0;84.0;4576.0;851.0;242.0;1902.0;568.0;uniform_reference
145;4670.0;2.0;68.0;24.0;1611.0;294.0;96.0;848.0;319.0;uniform_reference
146;7068.0;24.0;32.0;55.0;2603.0;335.0;135.0;945.0;309.0;uniform_reference
147;7632.0;27.0;33.0;58.0;2611.0;390.0;104.0;906.0;269.0;uniform_reference
148;13557.0;42.0;54.0;85.0;5420.0;825.0;172.0;2218.0;480.0;uniform_reference
149;6609.0;17.0;28.0;79.0;3922.0;506.0;173.0;989.0;303.0;uniform_reference
150;7292.0;37.0;28.0;42.0;2151.0;324.0;105.0;1023.0;354.0;uniform_reference
151;11139.0;52.0;51.0;24.0;2358.0;326.0;79.0;1615.0;520.0;uniform_reference
152;13563.0;48.0;76.0;57.0;3967.0;622.0;205.0;1904.0;703.0;uniform_reference
153;10839.0;18.0;54.0;74.0;4744.0;694.0;181.0;1532.0;394.0;uniform_reference
154;4963.0;1.0;37.0;73.0;2589.0;612.0;145.0;1097.0;255.0;uniform_reference
155;13535.0;75.0;76.0;16.0;2553.0;457.0;138.0;2312.0;810.0;uniform_reference
156;9076.0;21.0;70.0;5.0;2256.0;272.0;65.0;1113.0;295.0;uniform_reference
157;993.0;9.0;8.0;20.0;514.0;81.0;16.0;189.0;48.0;uniform_reference
158;17210.0;85.0;44.0;54.0;3943.0;549.0;178.0;2375.0;733.0;uniform_reference
159;7133.0;18.0;78.0;5.0;1657.0;307.0;60.0;1173.0;241.0;uniform_reference
160;15098.0;52.0;64.0;45.0;3935.0;537.0;133.0;1860.0;479.0;uniform_reference
161;17839.0;67.0;66.0;68.0;4975.0;605.0;255.0;2155.0;888.0;uniform_reference
162;8275.0;47.0;24.0;55.0;3143.0;487.0;131.0;1685.0;424.0;uniform_reference
163;5776.0;53.0;14.0;4.0;765.0;132.0;26.0;1147.0;282.0;uniform_reference
164;12258.0;61.0;13.0;58.0;3147.0;383.0;101.0;1462.0;356.0;uniform_reference
165;16125.0;63.0;73.0;50.0;4335.0;664.0;172.0;2968.0;679.0;uniform_reference
166;13783.0;49.0;61.0;35.0;3583.0;464.0;142.0;1925.0;651.0;uniform_reference
167;11396.0;68.0;32.0;14.0;1659.0;223.0;52.0;1530.0;393.0;uniform_reference
168;8071.0;45.0;22.0;32.0;1800.0;255.0;80.0;964.0;404.0;uniform_reference
169;11582.0;71.0;7.0;58.0;3233.0;409.0;117.0;1638.0;523.0;uniform_reference
170;3701.0;19.0;1.0;48.0;1939.0;284.0;73.0;597.0;155.0;uniform_reference
171;11488.0;47.0;1.0;84.0;4229.0;592.0;168.0;1603.0;495.0;uniform_reference
172;10997.0;41.0;64.0;32.0;3067.0;362.0;137.0;1658.0;552.0;uniform_reference
173;11380.0;16.0;84.0;56.0;4794.0;622.0;203.0;1583.0;592.0;uniform_reference
174;6608.0;26.0;53.0;49.0;2697.0;482.0;123.0;1305.0;332.0;uniform_reference
175;7864.0;28.0;50.0;42.0;2610.0;462.0;123.0;1467.0;372.0;uniform_reference
176;15388.0;63.0;69.0;2.0;2962.0;329.0;111.0;1800.0;712.0;uniform_reference
177;8098.0;34.0;64.0;11.0;1592.0;254.0;96.0;1076.0;409.0;uniform_reference
178;11550.0;63.0;16.0;56.0;2826.0;445.0;107.0;1705.0;377.0;uniform_reference
179;5256.0;13.0;8.0;79.0;3465.0;475.0;121.0;896.0;238.0;uniform_reference
180;22152.0;85.0;64.0;82.0;5212.0;999.0;253.0;3379.0;973.0;uniform_reference
181;11090.0;78.0;23.0;18.0;1559.0;206.0;56.0;1428.0;424.0;uniform_reference
182;9753.0;30.0;74.0;40.0;2705.0;548.0;162.0;1769.0;537.0;uniform_reference
183;15030.0;50.0;72.0;61.0;4071.0;537.0;180.0;1919.0;618.0;uniform_reference
184;8899.0;44.0;55.0;24.0;2210.0;280.0;97.0;1292.0;444.0;uniform_reference
185;18741.0;75.0;62.0;71.0;4929.0;681.0;230.0;2306.0;839.0;uniform_reference
186;12616.0;50.0;78.0;38.0;3826.0;435.0;130.0;1431.0;611.0;uniform_reference
187;12701.0;55.0;58.0;10.0;2211.0;330.0;72.0;1762.0;466.0;uniform_reference
188;7141.0;41.0;24.0;35.0;2039.0;299.0;60.0;1196.0;240.0;uniform_reference
189;13942.0;33.0;65.0;84.0;5023.0;811.0;223.0;2265.0;574.0;uniform_reference
190;15625.0;83.0;25.0;51.0;3213.0;460.0;123.0;2106.0;559.0;uniform_reference
191;11568.0;52.0;54.0;39.0;2770.0;493.0;140.0;1706.0;576.0;uniform_reference
192;7953.0;53.0;7.0;32.0;1647.0;288.0;61.0;1290.0;335.0;uniform_reference
193;6543.0;30.0;44.0;6.0;1280.0;158.0;54.0;841.0;302.0;uniform_reference
194;6179.0;46.0;10.0;67.0;2562.0;452.0;130.0;1340.0;375.0;uniform_reference
195;6653.0;21.0;44.0;39.0;2248.0;341.0;96.0;923.0;253.0;uniform_reference
196;8880.0;33.0;55.0;29.0;2420.0;327.0;91.0;1301.0;387.0;uniform_reference
197;3619.0;2.0;40.0;31.0;1594.0;234.0;85.0;558.0;212.0;uniform_reference
198;8486.0;45.0;1.0;36.0;2019.0;208.0;82.0;815.0;307.0;uniform_reference
199;9417.0;34.0;59.0;12.0;2132.0;274.0;66.0;1146.0;294.0;uniform_reference
200;6459.0;29.0;38.0;27.0;1634.0;285.0;79.0;1098.0;304.0;uniform_reference
201;11830.0;60.0;44.0;30.0;2346.0;411.0;112.0;1776.0;565.0;uniform_reference
202;4635.0;39.0;1.0;22.0;858.0;135.0;32.0;780.0;190.0;uniform_reference
203;9834.0;54.0;28.0;15.0;1585.0;167.0;75.0;1003.0;479.0;uniform_reference
204;9917.0;51.0;59.0;4.0;1889.0;220.0;101.0;1309.0;584.0;uniform_reference
205;17310.0;43.0;62.0;75.0;5477.0;857.0;208.0;2501.0;559.0;uniform_reference
206;5673.0;45.0;16.0;7.0;723.0;97.0;38.0;790.0;319.0;uniform_reference
207;2423.0;8.0;16.0;33.0;1284.0;184.0;36.0;353.0;102.0;uniform_reference
208;19315.0;77.0;78.0;71.0;5703.0;787.0;203.0;2911.0;810.0;uniform_reference
209;5321.0;41.0;14.0;59.0;2000.0;537.0;126.0;1466.0;354.0;uniform_reference
210;1674.0;16.0;17.0;8.0;368.0;34.0;13.0;212.0;80.0;uniform_reference
211;2560.0;4.0;27.0;33.0;1289.0;222.0;66.0;463.0;156.0;uniform_reference
212;2972.0;5.0;30.0;35.0;1389.0;234.0;77.0;501.0;168.0;uniform_reference
213;5778.0;50.0;30.0;13.0;1010.0;193.0;53.0;1152.0;328.0;uniform_reference
214;10063.0;54.0;50.0;21.0;1977.0;325.0;83.0;1769.0;403.0;uniform_reference
215;11701.0;21.0;84.0;68.0;4571.0;740.0;188.0;1749.0;464.0;uniform_reference
216;10622.0;46.0;44.0;46.0;2884.0;414.0;97.0;1645.0;314.0;uniform_reference
217;12559.0;51.0;33.0;61.0;3120.0;630.0;155.0;1932.0;469.0;uniform_reference
218;8708.0;70.0;35.0;9.0;1241.0;237.0;59.0;1637.0;421.0;uniform_reference
219;15810.0;50.0;80.0;74.0;5651.0;746.0;259.0;2641.0;733.0;uniform_reference
220;8688.0;34.0;74.0;10.0;1730.0;345.0;67.0;1559.0;325.0;uniform_reference
221;13013.0;51.0;68.0;23.0;2854.0;410.0;136.0;1901.0;714.0;uniform_reference
222;11761.0;54.0;19.0;42.0;2765.0;298.0;103.0;1293.0;433.0;uniform_reference
223;7706.0;45.0;28.0;30.0;1591.0;292.0;88.0;1320.0;381.0;uniform_reference
224;4453.0;23.0;28.0;32.0;1481.0;274.0;48.0;769.0;143.0;uniform_reference
225;15193.0;50.0;80.0;47.0;4213.0;591.0;158.0;1939.0;589.0;uniform_reference
226;4495.0;27.0;36.0;14.0;1044.0;158.0;50.0;708.0;239.0;uniform_reference
227;7690.0;40.0;40.0;28.0;2060.0;267.0;83.0;1091.0;376.0;uniform_reference
228;5951.0;26.0;53.0;12.0;1412.0;217.0;44.0;903.0;194.0;uniform_reference
229;4005.0;14.0;17.0;46.0;1851.0;302.0;66.0;626.0;151.0;uniform_reference
230;17147.0;79.0;80.0;53.0;4269.0;787.0;169.0;2941.0;823.0;uniform_reference
231;11495.0;43.0;64.0;71.0;4130.0;774.0;168.0;1996.0;590.0;uniform_reference
232;8924.0;55.0;20.0;46.0;2073.0;440.0;77.0;1629.0;301.0;uniform_reference
233;11596.0;43.0;51.0;49.0;3166.0;475.0;126.0;1436.0;435.0;uniform_reference
234;3300.0;7.0;16.0;51.0;1947.0;270.0;73.0;468.0;126.0;uniform_reference
235;13201.0;58.0;31.0;68.0;4019.0;506.0;179.0;1655.0;533.0;uniform_reference
236;17332.0;78.0;84.0;4.0;3265.0;367.0;153.0;2282.0;733.0;uniform_reference
237;944.0;7.0;11.0;20.0;414.0;78.0;13.0;174.0;38.0;uniform_reference
238;4688.0;41.0;7.0;18.0;781.0;123.0;24.0;796.0;184.0;uniform_reference
239;8850.0;35.0;31.0;60.0;3770.0;351.0;160.0;1154.0;385.0;uniform_reference
240;14291.0;18.0;85.0;82.0;5812.0;772.0;245.0;1956.0;629.0;uniform_reference
241;6719.0;43.0;32.0;8.0;1146.0;122.0;40.0;799.0;330.0;uniform_reference
242;19576.0;78.0;67.0;48.0;4736.0;558.0;181.0;2165.0;765.0;uniform_reference
243;16680.0;57.0;68.0;74.0;4940.0;733.0;204.0;2250.0;685.0;uniform_reference
244;10954.0;57.0;40.0;29.0;2329.0;326.0;74.0;1570.0;371.0;uniform_reference
245;15335.0;49.0;61.0;84.0;6060.0;761.0;186.0;2388.0;510.0;uniform_reference
246;13757.0;61.0;44.0;46.0;3349.0;464.0;145.0;1751.0;579.0;uniform_reference
247;13316.0;54.0;61.0;7.0;2180.0;279.0;92.0;1634.0;595.0;uniform_reference
248;10525.0;63.0;45.0;8.0;1608.0;292.0;50.0;1795.0;375.0;uniform_reference
249;4175.0;19.0;18.0;48.0;2203.0;323.0;64.0;711.0;152.0;uniform_reference
250;7742.0;2.0;62.0;44.0;3222.0;354.0;128.0;926.0;312.0;uniform_reference
251;13608.0;75.0;12.0;74.0;3567.0;633.0;176.0;2358.0;635.0;uniform_reference
252;13632.0;58.0;65.0;19.0;2261.0;319.0;111.0;1514.0;502.0;uniform_reference
253;4635.0;34.0;33.0;3.0;770.0;135.0;33.0;784.0;216.0;uniform_reference
254;8475.0;23.0;43.0;80.0;3731.0;611.0;155.0;1288.0;288.0;uniform_reference
255;7459.0;33.0;21.0;75.0;2762.0;648.0;140.0;1262.0;362.0;uniform_reference
256;3526.0;6.0;37.0;28.0;1525.0;200.0;49.0;542.0;138.0;uniform_reference
257;14689.0;41.0;71.0;72.0;5158.0;733.0;206.0;2128.0;681.0;uniform_reference
258;12702.0;75.0;31.0;15.0;1907.0;235.0;95.0;1756.0;648.0;uniform_reference
259;19232.0;41.0;82.0;76.0;6284.0;730.0;218.0;2171.0;580.0;uniform_reference
260;10324.0;55.0;72.0;6.0;2232.0;328.0;115.0;1741.0;597.0;uniform_reference
261;4243.0;28.0;12.0;37.0;1307.0;276.0;50.0;778.0;172.0;uniform_reference
262;4819.0;20.0;47.0;34.0;1838.0;362.0;90.0;931.0;283.0;uniform_reference
263;17114.0;81.0;28.0;80.0;4627.0;604.0;200.0;2308.0;649.0;uniform_reference
264;7893.0;48.0;41.0;23.0;1474.0;276.0;76.0;1276.0;452.0;uniform_reference
265;11067.0;50.0;60.0;26.0;2416.0;390.0;115.0;1816.0;522.0;uniform_reference
266;12258.0;59.0;46.0;30.0;2373.0;293.0;99.0;1248.0;474.0;uniform_reference
267;10588.0;34.0;48.0;75.0;4321.0;659.0;218.0;1583.0;627.0;uniform_reference
268;13259.0;46.0;82.0;71.0;4405.0;842.0;237.0;2485.0;762.0;uniform_reference
269;6783.0;2.0;79.0;2.0;1956.0;189.0;60.0;686.0;239.0;uniform_reference
270;18134.0;79.0;31.0;77.0;5475.0;731.0;163.0;2364.0;597.0;uniform_reference
271;8632.0;40.0;74.0;9.0;2016.0;302.0;78.0;1545.0;404.0;uniform_reference
272;5408.0;9.0;61.0;14.0;1481.0;211.0;75.0;703.0;291.0;uniform_reference
273;3833.0;1.0;44.0;15.0;1216.0;199.0;46.0;601.0;164.0;uniform_reference
274;12101.0;38.0;76.0;2.0;2765.0;293.0;98.0;1480.0;513.0;uniform_reference
275;1652.0;18.0;20.0;22.0;618.0;109.0;26.0;365.0;83.0;uniform_reference
276;4532.0;9.0;26.0;57.0;2069.0;372.0;106.0;694.0;192.0;uniform_reference
277;14877.0;54.0;66.0;44.0;3804.0;486.0;178.0;1677.0;676.0;uniform_reference
278;11549.0;61.0;39.0;33.0;2401.0;402.0;106.0;1793.0;527.0;uniform_reference
279;13879.0;56.0;85.0;17.0;2703.0;430.0;141.0;1996.0;614.0;uniform_reference
280;11744.0;55.0;85.0;19.0;2667.0;426.0;143.0;2013.0;797.0;uniform_reference
281;10168.0;77.0;12.0;21.0;1472.0;275.0;65.0;1972.0;515.0;uniform_reference
282;16871.0;73.0;63.0;51.0;3863.0;610.0;193.0;2458.0;822.0;uniform_reference
283;11335.0;1.0;74.0;56.0;4146.0;573.0;134.0;1279.0;371.0;uniform_reference
284;15179.0;61.0;73.0;27.0;3168.0;453.0;155.0;1844.0;694.0;uniform_reference
285;15936.0;57.0;68.0;60.0;4593.0;698.0;199.0;2237.0;680.0;uniform_reference
286;20532.0;73.0;76.0;76.0;5903.0;747.0;208.0;2464.0;816.0;uniform_reference
287;3820.0;1.0;47.0;14.0;1343.0;170.0;59.0;559.0;184.0;uniform_reference
288;6990.0;51.0;6.0;0.0;787.0;100.0;17.0;853.0;213.0;uniform_reference
289;7452.0;19.0;50.0;72.0;3255.0;686.0;163.0;1397.0;398.0;uniform_reference
290;14420.0;56.0;83.0;69.0;4026.0;832.0;160.0;2498.0;592.0;uniform_reference
291;6072.0;48.0;12.0;4.0;734.0;107.0;34.0;948.0;273.0;uniform_reference
